subjID,TrialNum,List,ItemNum,Condition,TrialType,Sentence,Question,Literal_Answer,Response,
2120596786620860437,1,0,35,filler_other,filler_plausible,The performer lifted the acrobat onto her shoulders gracefully.,Did the acrobat receive someone/something?,No,,
2120596786620860437,2,0,39,filler_other,filler_plausible,The beekeeper selected a honeycomb carefully from a hive of swarming bees.,Did the beekeeper eat someone/something?,No,,
2120596786620860437,3,0,25,filler_other,filler_plausible,The playwright selected the understudy because of his resemblance to the lead actor.,Did the understudy receive someone/something?,No,,
2120596786620860437,4,1,16,filler_control,active_plausible,The granddaughter boarded the train.,Did the granddaughter board something/someone?,Yes,,
2120596786620860437,5,0,12,filler_other,filler_plausible,The spokesman toasted a muffin for the agent after the early morning appointment.,Did the spokesman do something for someone/something?,Yes,,
2120596786620860437,6,0,3,filler_other,filler_plausible,The terrorist assassinated the newsman in cold blood.,Did the terrorist kill someone/something?,Yes,,
2120596786620860437,7,1,9,test,DO_implausible,The boy handed the pencil the girl.,Did the pencil receive something/someone?,Yes,,
2120596786620860437,8,1,9,test,active_implausible,The pizza ate the boy.,Did the pizza eat something/someone?,Yes,,
2120596786620860437,9,1,12,filler_control,active_plausible,The grandmother cleaned the oven.,Did the oven clean something/someone?,No,,
2120596786620860437,10,0,38,filler_other,filler_plausible,The surgeon called for a nurse to assist him with the operation.,Did the nurse receive someone/something?,No,,
2120596786620860437,11,1,17,test,DO_implausible,The quarterback passed the ball the receiver.,Did the receiver receive something/someone?,No,,
2120596786620860437,12,1,8,filler_control,DO_plausible,The scuba instructor rented the tourist the equipment.,Did the equipment receive something/someone?,No,,
2120596786620860437,13,1,16,filler_control,DO_plausible,The host tossed the contestant the microphone.,Did the contestant receive something/someone?,Yes,,
2120596786620860437,14,0,8,filler_other,filler_plausible,The pianist met with a beautician to prepare for her recital.,Did the pianist meet with someone/something?,Yes,,
2120596786620860437,15,1,19,test,passive_implausible,The wife was lit by the candle.,Did the wife light something/someone?,No,,
2120596786620860437,16,1,2,filler_control,passive_plausible,The watch was bought by the plumber.,Did the plumber buy something/someone?,Yes,,
2120596786620860437,17,0,28,filler_other,filler_plausible,The sculptor brought a shell from the ocean floor.,Did the shell receive someone/something?,No,,
2120596786620860437,18,1,4,filler_control,active_plausible,The secretary licked the stamp.,Did the secretary lick something/someone?,Yes,,
2120596786620860437,19,1,1,test,DO_implausible,The sister mailed the letter the niece.,Did the niece receive something/someone?,No,,
2120596786620860437,20,1,5,test,DO_implausible,The sailing club leased the boat the man.,Did the man receive something/someone?,No,,
2120596786620860437,21,0,24,filler_other,filler_plausible,The choreographer found a film starring the lead in the musical.,Was the musical found by someone/something?,No,,
2120596786620860437,22,1,15,test,passive_implausible,The grandson was sipped by the water.,Did the water sip something/someone?,Yes,,
2120596786620860437,23,0,17,filler_other,filler_plausible,The acrobat respected the ballerina because she went to Juilliard.,Was the ballerina respected by someone/something?,Yes,,
2120596786620860437,24,0,2,filler_other,filler_plausible,The commissioner wrote a report for the chairman.,Did the commissioner write someone/something?,Yes,,
2120596786620860437,25,0,23,filler_other,filler_plausible,The advisee opened a file for the visitor with some trepidation.,Was the file closed by someone/something?,No,,
2120596786620860437,26,0,37,filler_other,filler_plausible,The intern begged a programmer to edit the program because it was due the next day.,Did the intern receive someone/something?,No,,
2120596786620860437,27,1,6,filler_control,PO_plausible,The girl tossed the apple to the boy.,Did the apple receive something/someone?,No,,
2120596786620860437,28,0,30,filler_other,filler_plausible,The trainer filled a bag with ice for the injured client.,Did the trainer receive someone/something?,No,,
2120596786620860437,29,0,13,filler_other,filler_plausible,The supplier described a scenario for the class after explaining basic concepts.,Did the supplier explain someone/something?,Yes,,
2120596786620860437,30,1,7,test,passive_implausible,The father was sharpened by the saw.,Did the saw sharpen something/someone?,Yes,,
2120596786620860437,31,1,18,filler_control,PO_plausible,The videostore rented the DVD to the customer.,Did the customer receive something/someone?,Yes,,
2120596786620860437,32,0,29,filler_other,filler_plausible,The dealer shuffled the deck before distributing the cards.,Did the cards receive someone/something?,No,,
2120596786620860437,33,1,13,test,active_implausible,The hammer stole the electrician.,Did the hammer steal something/someone?,Yes,,
2120596786620860437,34,0,34,filler_other,filler_plausible,The trucker ordered a bartender to bring him a beer.,Did the bartender receive someone/something?,No,,
2120596786620860437,35,0,26,filler_other,filler_plausible,The insurer paid the victim because his car had been destroyed.,Did the victim pay someone/something?,No,,
2120596786620860437,36,0,1,filler_other,filler_plausible,The professor conducted an inquiry into the status of the file.,Did the professor conduct someone/something?,Yes,,
2120596786620860437,37,0,20,filler_other,filler_plausible,The preacher irritated a parishioner because she was used to shorter sermons.,Was the parishioner irritated by someone/something?,Yes,,
2120596786620860437,38,0,11,filler_other,filler_plausible,The colonel was knighted by the queen because of his loyalty.,Did the queen knight someone/something?,Yes,,
2120596786620860437,39,0,10,filler_other,filler_plausible,The pirate stole the booty from an officer.,Did the pirate steal someone/something?,Yes,,
2120596786620860437,40,1,13,test,DO_implausible,The shop sold the bike the student.,Did the bike receive something/someone?,Yes,,
2120596786620860437,41,0,31,filler_other,filler_plausible,The cameraman was paid to follow a bridesmaid down the aisle with his camera.,Did the cameraman volunteer to film someone/something?,No,,
2120596786620860437,42,0,15,filler_other,filler_plausible,The defendant misled a juryman when she said that she worked for the government.,Was the juryman misled by someone/something?,Yes,,
2120596786620860437,43,1,8,filler_control,active_plausible,The niece opened the door.,Did the door open something/someone?,No,,
2120596786620860437,44,1,2,filler_control,PO_plausible,The mother gave the candle to the daughter.,Did the daughter receive something/someone?,Yes,,
2120596786620860437,45,1,10,filler_control,PO_plausible,The nanny threw the toy to the child.,Did the toy receive something/someone?,No,,
2120596786620860437,46,0,22,filler_other,filler_plausible,An analyst angered the economist after he interrupted a phone conference five times.,Was the analyst angered by someone/something?,No,,
2120596786620860437,47,0,16,filler_other,filler_plausible,The translator found a car for the ambassador because he could not speak Lebanese.,Was a car found for someone/something?,Yes,,
2120596786620860437,48,0,36,filler_other,filler_plausible,The archivist found a document dating back to the Nixon administration.,Did the archivist receive someone/something?,No,,
2120596786620860437,49,0,33,filler_other,filler_plausible,The paramedic helped an invalid into the brick building,Did the paramedic receive someone/something?,No,,
2120596786620860437,50,0,7,filler_other,filler_plausible,The witch was hanged by an executioner promptly at dawn.,Did the executioner hang someone/something?,Yes,,
2120596786620860437,51,1,3,test,passive_implausible,The man was driven by the truck.,Did the man drive something/someone?,No,,
2120596786620860437,52,0,5,filler_other,filler_plausible,The toddler hugged a teddybear because he was scared.,Did the toddler hug someone/something?,Yes,,
2120596786620860437,53,1,19,test,PO_implausible,The bartender handed the lady to the drink.,Did the lady receive something/someone?,No,,
2120596786620860437,54,0,19,filler_other,filler_plausible,The robot killed a scientist before escaping from the laboratory.,Did the robot escape from someone/something?,Yes,,
2120596786620860437,55,0,6,filler_other,filler_plausible,The spy monitored a baroness for several months.,Did the spy watch someone/something?,Yes,,
2120596786620860437,56,0,27,filler_other,filler_plausible,The runner filled a bottle with cold tap water.,Did the runner receive someone/something?,No,,
2120596786620860437,57,1,20,filler_control,active_plausible,The husband wrote the letter.,Did the husband write something/someone?,Yes,,
2120596786620860437,58,0,14,filler_other,filler_plausible,A bystander was rescued by the fireman in the nick of time.,Did the fireman rescue someone/something?,Yes,,
2120596786620860437,59,1,4,filler_control,DO_plausible,The contractor lent the homeowner the saw.,Did the homeowner receive something/someone?,Yes,,
2120596786620860437,60,0,32,filler_other,filler_plausible,The rioter stapled the sign to a bulletin board in the corridor.,Did the rioter receive someone/something?,No,,
2120596786620860437,61,1,10,filler_control,passive_plausible,The bowl was broken by the grandfather.,Did the bowl break something/someone?,No,,
2120596786620860437,62,0,21,filler_other,filler_plausible,The presenter was criticized by a legislator because of his speech impediment.,Did the presenter criticize someone/something?,No,,
2120596786620860437,63,0,4,filler_other,filler_plausible,A legislator lied to the consultant about a new bill.,Did the legislator lie about someone/something?,Yes,,
2120596786620860437,64,1,14,filler_control,PO_plausible,The janitor lent the mop to the teacher.,Did the mop receive something/someone?,No,,
2120596786620860437,65,1,3,test,PO_implausible,The uncle sold the father to the truck.,Did the father receive something/someone?,No,,
2120596786620860437,66,1,18,filler_control,passive_plausible,The boat was sailed by the uncle.,Did the uncle sail something/someone?,Yes,,
2120596786620860437,67,0,40,filler_other,filler_plausible,The Vikings raided a village in search of the warrior.,Did the warrior receive someone/something?,No,,
2120596786620860437,68,1,14,filler_control,passive_plausible,The window was closed by the sister.,Did the window close something/someone?,No,,
2120596786620860437,69,1,20,filler_control,DO_plausible,The magician threw the assistant the hat.,Did the assistant receive something/someone?,Yes,,
2120596786620860437,70,1,12,filler_control,DO_plausible,The father gave the son the car.,Did the car receive something/someone?,No,,
