subjID,TrialNum,List,ItemNum,Condition,TrialType,SentenceType,Sentence,Response
65979588762943733,1,2,57,Speaker_Error,exposure,insertion,A legislator lied to the consultant about for a new bill.,aaa
65979588762943733,2,2,98,Speaker_noError,filler,filler,A ghost appeared above the bed.,
65979588762943733,3,2,7,Speaker_noError,test,insertion,The bad lighting deteriorated from the woman's eyesight.,
65979588762943733,4,2,113,Speaker_Error,filler,filler,The train arrived at the station.,
65979588762943733,5,2,94,Speaker_noError,filler,filler,The mobile was hanging from the ceiling.,
65979588762943733,6,2,37,Speaker_noError,exposure,deletion,The beekeeper selected a honeycomb carefully from a hive of swarming bees.,
65979588762943733,7,2,25,Speaker_Error,test,insertion,The chemotherapy shrank from the tumor.,
65979588762943733,8,2,27,Speaker_Error,test,swap,The bat swung the player.,
65979588762943733,9,2,127,Speaker_Error,filler,filler,The astronaut accepted the mission.,
65979588762943733,10,2,73,Speaker_noError,filler,filler,The man ordered some champagne for his girlfriend.,
65979588762943733,11,2,81,Speaker_noError,filler,filler,The church built a shelter for the homeless.,
65979588762943733,12,2,106,Speaker_Error,filler,filler,A cat jumped onto the table.,
65979588762943733,13,2,103,Speaker_Error,filler,filler,The first-graders liked their teacher because she used games to teach them how to read.,
65979588762943733,14,2,43,Speaker_noError,exposure,insertion,The trucker ordered a bartender to bring him a beer.,
65979588762943733,15,2,66,Speaker_Error,exposure,swap,The preacher irritated a parishioner because she used was to shorter sermons.,
65979588762943733,16,2,92,Speaker_noError,filler,filler,The bartender poured a drink for the customer.,
65979588762943733,17,2,96,Speaker_noError,filler,filler,An old woman lives in the woods.,
65979588762943733,18,2,39,Speaker_noError,exposure,insertion,A socialite was greeted by the butler with a plate of caviar.,
65979588762943733,19,2,129,Speaker_Error,filler,filler,The defendant's name was written on the check.,
65979588762943733,20,2,123,Speaker_Error,filler,filler,The athlete was treated by a nurse who had been listening to music.,
65979588762943733,21,2,70,Speaker_Error,exposure,swap,The advisee opened a file for the visitor some with trepidation.,
65979588762943733,22,2,22,Speaker_Error,test,insertion,The host tossed the contestant to the microphone.,
