Item_Number,Condition,TrialType,SentenceType,Sentence,List
71,Speaker_noError,filler,filler,The woman saved a seat for her husband.,1
72,Speaker_noError,filler,filler,The waitress fixed a sandwich for the customer.,1
73,Speaker_noError,filler,filler,The man ordered some champagne for his girlfriend.,1
74,Speaker_noError,filler,filler,The woman was held by the man.,1
75,Speaker_noError,filler,filler,The journalist was ignored by the politician at the press conference.,1
76,Speaker_noError,filler,filler,The small plant grew into a huge tree.,1
77,Speaker_noError,filler,filler,The man was nudged by the woman.,1
78,Speaker_noError,filler,filler,The grocery store didn't have any more whole wheat bread in stock.,1
79,Speaker_noError,filler,filler,A magnificent diamond sparkled on the prince's finger.,1
80,Speaker_noError,filler,filler,The charity built a house for the hurricane victim.,1
81,Speaker_noError,filler,filler,The church built a shelter for the homeless.,1
82,Speaker_noError,filler,filler,The architect was commissioned by the large company.,1
83,Speaker_noError,filler,filler,The boyfriend obtained some concert tickets for his girlfriend.,1
84,Speaker_noError,filler,filler,The cook baked a cake for Lucy.,1
85,Speaker_noError,filler,filler,The dental technician accepted the job at the new office even though it didn't pay much.,1
86,Speaker_noError,filler,filler,The soccer mom was offended by the journalist because he asked rude questions.,1
87,Speaker_noError,filler,filler,The lab-assistant fetched a test-tube for the scientist.,1
88,Speaker_noError,filler,filler,The sergeant assigned a locker to the private after the meeting.,1
89,Speaker_noError,filler,filler,The jewelry-maker was commissioned by the millionaire.,1
90,Speaker_noError,filler,filler,The apple was placed on the teacher's desk.,1
91,Speaker_noError,filler,filler,The nurse poured some water for the old man.,1
92,Speaker_noError,filler,filler,The bartender poured a drink for the customer.,1
93,Speaker_noError,filler,filler,The moose's head was mounted on the wall.,1
94,Speaker_noError,filler,filler,The mobile was hanging from the ceiling.,1
95,Speaker_noError,filler,filler,The coach encouraged the team to score in the last quarter.,1
96,Speaker_noError,filler,filler,An old woman lives in the woods.,1
97,Speaker_noError,filler,filler,The submarine captain accepted the mission.,1
98,Speaker_noError,filler,filler,A ghost appeared above the bed.,1
99,Speaker_noError,filler,filler,The student spent all night studying and aced the test.,1
100,Speaker_noError,filler,filler,The chef cleaned the ladle before he stirred the soup.,1
