subjID,TrialNum,List,BlockOrder,ItemNum,Condition,TrialType,SentenceType,Sentence,Response,A_rating,B_rating
1724309533568533524,1,2,1,82,Speaker_noError,filler,filler,The architect was commissioned by the large company.,,,
1724309533568533524,2,2,1,41,Speaker_noError,exposure,insertion,The presenter was criticized by a legislator because of his speech impediment.,,,
1724309533568533524,3,2,1,85,Speaker_noError,filler,filler,The dental technician accepted the job at the new office even though it didn't pay much.,,,
1724309533568533524,4,2,1,35,Speaker_noError,exposure,deletion,The paramedic helped an invalid into the brick building.,,,
1724309533568533524,5,2,1,34,Speaker_noError,exposure,deletion,The commissioner wrote a report for the chairman.,,,
1724309533568533524,6,2,1,45,Speaker_noError,exposure,swap,The colonel was knighted by the queen because of his loyalty.,,,
1724309533568533524,7,2,1,50,Speaker_noError,exposure,swap,The runner filled a bottle with cold tap water.,,,
1724309533568533524,8,2,1,36,Speaker_noError,exposure,deletion,The rioter stapled the sign to a bulletin board in the corridor.,,,
1724309533568533524,9,2,1,74,Speaker_noError,filler,filler,The woman was held by the man.,,,
1724309533568533524,10,2,1,39,Speaker_noError,exposure,insertion,A socialite was greeted by the butler with a plate of caviar.,,,
1724309533568533524,11,2,1,99,Speaker_noError,filler,filler,The student spent all night studying and aced the test.,,,
1724309533568533524,12,2,1,31,Speaker_noError,exposure,deletion,The pirate stole the booty from an officer.,,,
1724309533568533524,13,2,1,49,Speaker_noError,exposure,swap,The choreographer found a film starring the lead in the musical.,,,
1724309533568533524,14,2,1,42,Speaker_noError,exposure,insertion,A bystander was rescued by the fireman in the nick of time.,,,
1724309533568533524,15,2,1,44,Speaker_noError,exposure,insertion,The translator found a car for the ambassador because he could not speak Lebanese.,,,
1724309533568533524,16,2,1,79,Speaker_noError,filler,filler,A magnificent diamond sparkled on the prince's finger.,,,
1724309533568533524,17,2,1,43,Speaker_noError,exposure,insertion,The trucker ordered a bartender to bring him a beer.,,,
1724309533568533524,18,2,1,47,Speaker_noError,exposure,swap,The Vikings raided a village in search of the warrior.,,,
1724309533568533524,19,2,1,90,Speaker_noError,filler,filler,The apple was placed on the teacher's desk.,,,
1724309533568533524,20,2,1,77,Speaker_noError,filler,filler,The man was nudged by the woman.,,,
1724309533568533524,21,2,1,83,Speaker_noError,filler,filler,The boyfriend obtained some concert tickets for his girlfriend.,,,
1724309533568533524,22,2,1,97,Speaker_noError,filler,filler,The submarine captain accepted the mission.,,,
1724309533568533524,23,2,1,46,Speaker_noError,exposure,swap,The principal commended a parent for her ability to motivate her child.,,,
1724309533568533524,24,2,1,38,Speaker_noError,exposure,insertion,The surgeon called for a nurse to assist him with the operation.,,,
1724309533568533524,25,2,1,96,Speaker_noError,filler,filler,An old woman lives in the woods.,,,
1724309533568533524,26,2,1,48,Speaker_noError,exposure,swap,The toddler hugged a teddybear because he was scared.,,,
1724309533568533524,27,2,1,71,Speaker_noError,filler,filler,The woman saved a seat for her husband.,,,
1724309533568533524,28,2,1,37,Speaker_noError,exposure,deletion,The beekeeper selected a honeycomb carefully from a hive of swarming bees.,,,
1724309533568533524,29,2,1,32,Speaker_noError,exposure,deletion,The supplier described a scenario for the class after explaining basic concepts.,,,
1724309533568533524,30,2,1,33,Speaker_noError,exposure,deletion,The trainer filled a bag with ice for the injured client.,,,
1724309533568533524,31,2,1,93,Speaker_noError,filler,filler,The moose's head was mounted on the wall.,,,
1724309533568533524,32,2,1,76,Speaker_noError,filler,filler,The small plant grew into a huge tree.,,,
1724309533568533524,33,2,1,73,Speaker_noError,filler,filler,The man ordered some champagne for his girlfriend.,,,
1724309533568533524,34,2,1,40,Speaker_noError,exposure,insertion,The performer lifted the acrobat onto her shoulders gracefully.,,,
1724309533568533524,35,2,1,87,Speaker_noError,filler,filler,The lab-assistant fetched a test-tube for the scientist.,,,
