subjID,TrialNum,List,BlockOrder,ItemNum,Condition,TrialType,SentenceType,Sentence,Response
16961602112110210659,1,7,1,48,Speaker_noError,exposure,swap,The professor conducted an inquiry into the status of the file.,bla bla bla
16961602112110210659,2,7,1,129,Speaker_noError,filler,filler,The defendant's name was written on the check.,
16961602112110210659,3,7,1,43,Speaker_noError,exposure,swap,The cameraman was paid to follow a bridesmaid down the aisle with his camera.,
16961602112110210659,4,7,1,40,Speaker_noError,exposure,insertion,The acrobat respected the ballerina because she went to Juilliard.,
16961602112110210659,5,7,1,50,Speaker_noError,exposure,swap,The advisee opened a file for the visitor with some trepidation.,
16961602112110210659,6,7,1,45,Speaker_noError,exposure,swap,The robot killed a scientist before escaping from the laboratory.,
16961602112110210659,7,7,1,31,Speaker_noError,exposure,deletion,The dealer shuffled the deck before distributing the cards.,
16961602112110210659,8,7,1,42,Speaker_noError,exposure,insertion,The sculptor brought a shell from the ocean floor.,
16961602112110210659,9,7,1,36,Speaker_noError,exposure,deletion,The intern begged a programmer to edit the program because it was due the next day.,
16961602112110210659,10,7,1,118,Speaker_noError,filler,filler,The lawyer was insulted by the judge.,
16961602112110210659,11,7,1,121,Speaker_noError,filler,filler,The runner trained for months before the marathon.,
16961602112110210659,12,7,1,46,Speaker_noError,exposure,swap,The preacher irritated a parishioner because she was used to shorter sermons.,
16961602112110210659,13,7,1,39,Speaker_noError,exposure,insertion,The pianist met with a beautician to prepare for her recital.,
16961602112110210659,14,7,1,130,Speaker_noError,filler,filler,The bank robber spent thirty minutes cracking the code for the safe.,
16961602112110210659,15,7,1,116,Speaker_noError,filler,filler,The hiker was rescued by a ranger who had been on patrol.,
16961602112110210659,16,7,1,123,Speaker_noError,filler,filler,The athlete was treated by a nurse who had been listening to music.,
16961602112110210659,17,7,1,111,Speaker_noError,filler,filler,The cheerleader was treated by a doctor who had been watching the game.,
16961602112110210659,18,7,1,32,Speaker_noError,exposure,deletion,The spy monitored a baroness for several months.,
16961602112110210659,19,7,1,33,Speaker_noError,exposure,deletion,The terrorist assassinated the newsman in cold blood.,
16961602112110210659,20,7,1,102,Speaker_noError,filler,filler,Some of the woman's cats were scared of dogs but most of them weren't.,
16961602112110210659,21,7,1,37,Speaker_noError,exposure,insertion,A legislator lied to the consultant about a new bill.,
16961602112110210659,22,7,1,49,Speaker_noError,exposure,deletion,The spokesman toasted a muffin for the agent after the early morning appointment.,
16961602112110210659,23,7,1,34,Speaker_noError,exposure,deletion,The witch was hanged by an executioner promptly at dawn.,
16961602112110210659,24,7,1,107,Speaker_noError,filler,filler,The apprentice fetched a hammer for the carpenter.,
16961602112110210659,25,7,1,35,Speaker_noError,exposure,deletion,An analyst angered the economist after he interrupted a phone conference five times.,
16961602112110210659,26,7,1,47,Speaker_noError,exposure,swap,The playwright selected the understudy because of his resemblance to the lead actor.,
16961602112110210659,27,7,1,104,Speaker_noError,filler,filler,The grandmother made a quilt for her granddaughter.,
16961602112110210659,28,7,1,38,Speaker_noError,exposure,insertion,The insurer paid the victim because his car had been destroyed.,
16961602112110210659,29,7,1,41,Speaker_noError,exposure,insertion,The archivist found a document dating back to the Nixon administration.,
16961602112110210659,30,7,1,115,Speaker_noError,filler,filler,The father bought a bicycle for his son.,
16961602112110210659,31,7,1,44,Speaker_noError,exposure,swap,The defendant misled a juryman when she said that she worked for the government.,
16961602112110210659,32,7,1,126,Speaker_noError,filler,filler,The dog trainer taught the puppy to roll over.,
16961602112110210659,33,7,1,125,Speaker_noError,filler,filler,The receptionist saved some cake for her co-worker.,
16961602112110210659,34,7,1,128,Speaker_noError,filler,filler,The girl was pushed by the boy.,
16961602112110210659,35,7,1,110,Speaker_noError,filler,filler,The name was engraved on the ring.,
16961602112110210659,36,7,1,58,Speaker_Error,exposure,insertion,The surgeon called for a nurse to from assist him with the operation.,
16961602112110210659,37,7,1,57,Speaker_Error,exposure,deletion,The beekeeper selected a honeycomb carefully a hive of swarming bees.,
16961602112110210659,38,7,1,59,Speaker_Error,exposure,insertion,A socialite was and greeted by the butler with a plate of caviar.,
16961602112110210659,39,7,1,51,Speaker_Error,exposure,deletion,The pirate stole the booty an officer.,
16961602112110210659,40,7,1,63,Speaker_Error,exposure,insertion,The trucker ordered a bartender to bring him onto a beer.,
16961602112110210659,41,7,1,66,Speaker_Error,exposure,swap,The principal commended a parent for her motivate to ability her child.,
16961602112110210659,42,7,1,62,Speaker_Error,exposure,insertion,A bystander was rescued by the fireman to in the nick of time.,
