subjID,TrialNum,List,BlockOrder,ItemNum,Condition,TrialType,SentenceType,TranscriberName,Sentence,Response,A_rating,B_rating
4985964741831794587,1,3,3,63,Speaker_Error,exposure,insertion,Transcriber B,The trucker ordered a bartender to bring him onto a beer.,error,5,1
4985964741831794587,2,3,3,122,Speaker_Error,filler,filler,Transcriber B,The TA was criticized by the professor.,,5,1
4985964741831794587,3,3,3,51,Speaker_Error,exposure,deletion,Transcriber B,The pirate stole the booty an officer.,,5,1
4985964741831794587,4,3,3,59,Speaker_Error,exposure,insertion,Transcriber B,A socialite was and greeted by the butler with a plate of caviar.,,5,1
4985964741831794587,5,3,3,130,Speaker_Error,filler,filler,Transcriber B,The bank robber spent thirty minutes cracking the code for the safe.,,5,1
4985964741831794587,6,3,3,60,Speaker_Error,exposure,insertion,Transcriber B,The performer lifted the acrobat onto a her shoulders gracefully.,,5,1
4985964741831794587,7,3,3,67,Speaker_Error,exposure,swap,Transcriber B,The Vikings raided a search in village of the warrior.,,5,1
4985964741831794587,8,3,3,64,Speaker_Error,exposure,insertion,Transcriber B,The translator found a car for the ambassador because he or could not speak Lebanese.,,5,1
4985964741831794587,9,3,3,69,Speaker_Error,exposure,swap,Transcriber B,The choreographer found a film starring the musical in the lead.,,5,1
4985964741831794587,10,3,3,127,Speaker_Error,filler,filler,Transcriber B,The astronaut accepted the mission.,,5,1
4985964741831794587,11,3,3,118,Speaker_Error,filler,filler,Transcriber B,The lawyer was insulted by the judge.,,5,1
4985964741831794587,12,3,3,105,Speaker_Error,filler,filler,Transcriber B,The travel agent reserved a flight for the businessman.,,5,1
4985964741831794587,13,3,3,55,Speaker_Error,exposure,deletion,Transcriber B,The paramedic helped an invalid the brick building.,,5,1
4985964741831794587,14,3,3,116,Speaker_Error,filler,filler,Transcriber B,The hiker was rescued by a ranger who had been on patrol.,,5,1
4985964741831794587,15,3,3,58,Speaker_Error,exposure,insertion,Transcriber B,The surgeon called for a nurse to from assist him with the operation.,,5,1
4985964741831794587,16,3,3,53,Speaker_Error,exposure,deletion,Transcriber B,The trainer filled a bag with ice the injured client.,error,5,1
4985964741831794587,17,3,3,68,Speaker_Error,exposure,swap,Transcriber B,The toddler hugged a teddybear scared because he was.,,5,1
4985964741831794587,18,3,3,65,Speaker_Error,exposure,swap,Transcriber B,The colonel was knighted by the queen loyalty of his because.,,5,1
4985964741831794587,19,3,3,126,Speaker_Error,filler,filler,Transcriber B,The dog trainer taught the puppy to roll over.,,5,1
4985964741831794587,20,3,3,115,Speaker_Error,filler,filler,Transcriber B,The father bought a bicycle for his son.,,5,1
4985964741831794587,21,3,3,104,Speaker_Error,filler,filler,Transcriber B,The grandmother made a quilt for her granddaughter.,,5,1
4985964741831794587,22,3,3,52,Speaker_Error,exposure,deletion,Transcriber B,The supplier described a scenario the class after explaining basic concepts.,,5,1
4985964741831794587,23,3,3,70,Speaker_Error,exposure,swap,Transcriber B,The runner filled a bottle with cold water tap.,,5,1
4985964741831794587,24,3,3,62,Speaker_Error,exposure,insertion,Transcriber B,A bystander was rescued by the fireman to in the nick of time.,,5,1
